job_id,job_title,company,company_scale,required_education,required_skills,preferred_skills,min_experience_years,city,salary_min,salary_max,preferred_certificates,job_type,job_description,responsibilities,benefits
J001,后端开发工程师,杭州云智科技,200-500人,本科,Python;Java;SQL;Linux;Git;Docker,Spring Boot;微服务;Redis;Kafka,2,杭州,10000,20000,CET-4,全职,"后端开发工程师，负责核心业务系统设计与开发。要求熟练掌握Python或Java，有互联网项目经验。","负责核心后端服务设计与开发；参与技术方案评审；编写技术文档","六险一金；弹性工作；技术分享；年度旅游"
J002,算法工程师（机器学习）,深圳AI研究院,50-200人,硕士,Python;机器学习;深度学习;TensorFlow;PyTorch;数据分析,Spark;Hadoop;NLP;推荐算法,3,深圳,20000,35000,CET-6,全职,"机器学习算法工程师，负责推荐/风控/搜索等核心算法研发。985/211优先，需有算法落地经验。","行业顶尖薪资；GPU集群；顶会论文奖励；灵活晋升"
J003,数据分析师,上海数联科技有限公司,100-200人,本科,Python;SQL;Excel;数据分析;可视化,Tableau;PowerBI;R;统计学,1,上海,8000,15000,CET-4,全职,"数据分析师，负责业务数据提取、分析与可视化，支持产品决策。需要良好的业务理解能力。","五险一金；周末双休；定期团建；下午茶"
J004,Java开发工程师,南昌智创软件,50-200人,本科,Java;MySQL;Spring Boot;Git;Linux,Docker;Redis;Kafka;微服务,2,南昌,8000,15000,软考初级,全职,"Java后端开发，参与企业级应用系统建设。技术氛围浓厚，有完整技术晋升通道。","五险一金；年终奖；技术培训；节日福利"
J005,前端开发工程师,广州云栖网络,200-500人,本科,JavaScript;Vue.js;React;HTML/CSS;Git;Webpack,TypeScript;Node.js;小程序;性能优化,2,广州,9000,18000,CET-4,全职,"前端开发工程师，负责Web端和移动端页面开发，追求极致用户体验。","六险一金；弹性打卡；免费三餐；股票期权"
J006,测试工程师,深圳华为外包中心,500-1000人,大专,测试基础;Selenium;Postman;Linux;SQL,Python;自动化测试;CI/CD;性能测试,1,深圳,7000,14000,ISTQB,外包,测试工程师，负责功能测试和自动化脚本开发。有手Q测试经验优先。,"六险一金；华为工作环境；项目奖金；技术培训"
J007,嵌入式软件工程师,深圳拓疆机器人,50-200人,本科,C++;嵌入式C;Linux;RTOS;MCU开发,ROS;SLAM;电机控制;CAN总线;BLE,3,深圳,15000,28000,CET-4,全职,"嵌入式软件工程师，负责机器人控制软件开发。核心团队来自大疆，发展空间大。","股权激励；研发补贴；弹性工作；出国交流"
J008,产品经理（数据产品）,北京字节数据,1000人以上,本科,产品设计;数据分析;SQL;Axure;PRD,Python;机器学习;数据埋点;增长黑客,2,北京,15000,25000,PMP,全职,"数据产品经理，负责数据平台和BI工具产品设计。需要强数据分析能力和产品思维。","免费三餐；租房补贴；股票期权；大厂背书"
J009,DevOps工程师,上海蚂蚁金服,1000人以上,本科,Linux;Docker;Kubernetes;Python;Shell;CI/CD,Prometheus;Grafana;Ansible;Terraform;ServiceMesh,4,上海,22000,40000,RHCE;CKA,全职,"DevOps工程师，负责Kubernetes平台建设和SRE体系。需要大规模集群运维经验。","行业顶级薪资；股票期权；技术大牛；金融科技"
J010,UI设计师,杭州网易创意,200-500人,本科,UI设计;Figma;Sketch;Adobe XD;用户研究,动效设计;Blender;品牌设计;HTML/CSS,1,杭州,8000,15000,CET-4,全职,"UI设计师，负责移动端和Web端界面设计，追求极致视觉体验和交互细节。","六险一金；免费健身；下午茶；设计师交流"
J011,HR招聘专员,南昌智联招聘,200-500人,大专,招聘;面试;沟通;HR系统;Excel,数据分析;雇主品牌;猎头,1,南昌,5000,9000,三级人力资源师,全职,"HR招聘专员，负责技术团队招聘和人才库运营。有互联网HR经验优先。","五险一金；晋升通道；带薪年假；节日福利"
